Saison,Championnats,Club,Etape,GP,Athlète,Cap 1,T1,Vélo,T2,Cap 2
2024 - 2025,D2 Homme,Entente Haute Bretagne aTriathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,BEST Triathlon Saint Nazaire,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,A.L. Echirolles Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Métropole Grand Nancy Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,A.S.P.T.T. Muhlouse Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,T.O.S Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Côte d'Opale Triathlon Calais Saint Omer,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Château- Gontier Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Versailles Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Creusot Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Gravelines Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Clermont Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Bourg-en-Bresse Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Beauvais Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Stade Français,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Le Pui-en-Velay Triathlon,1ére étape,??,,,,,,
2024 - 2025,D2 Homme,Entente Haute Bretagne aTriathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,BEST Triathlon Saint Nazaire,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,A.L. Echirolles Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Métropole Grand Nancy Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,A.S.P.T.T. Muhlouse Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,T.O.S Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Côte d'Opale Triathlon Calais Saint Omer,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Château- Gontier Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Versailles Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Creusot Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Gravelines Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Clermont Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Bourg-en-Bresse Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Beauvais Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Stade Français,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Le Pui-en-Velay Triathlon,2éme étape,Saint-Grégoire,,,,,,
2024 - 2025,D2 Homme,Entente Haute Bretagne aTriathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,BEST Triathlon Saint Nazaire,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,A.L. Echirolles Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Métropole Grand Nancy Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,A.S.P.T.T. Muhlouse Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,T.O.S Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Côte d'Opale Triathlon Calais Saint Omer,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Château- Gontier Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Versailles Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Creusot Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Gravelines Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Clermont Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Bourg-en-Bresse Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Beauvais Triathlon,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Stade Français,3éme étape,Gravelines,,,,,,
2024 - 2025,D2 Homme,Le Pui-en-Velay Triathlon,3éme étape,Gravelines,,,,,,
