Sector	BufoCalamita	TOT.N	S.RICH	OPEN.L	OLIVE	MONT.S	MONT	POLIC	SHRUB	URBAN	WAT.RES	L.WAT.C	L.D.ROAD	L.P.ROAD	D.WAT.RES	D.WAT.COUR	D.PARK
A	5	22	3	22.684	60.333	0	0.653	4.811	0.406	7.787	0.043	0.583	3330.189	1.975	252.113	735	250.214
A	1	14	4	24.657	40.832	0	0.161	2.224	0.735	27.15	0.182	1.419	2587.498	1.761	139.573	134.052	741.179
A	40	65	6	30.121	23.71	0.258	10.918	1.946	0.474	28.086	0.453	2.005	2149.651	1.25	59.168	269.029	1240.08
A	27	55	5	50.277	14.94	1.783	26.454	0.625	0.607	0.831	0.026	1.924	4222.983	0.666	277.842	48.751	1739.885
A	67	88	4	43.609	35.353	2.431	11.33	0.791	0.173	2.452	0	2.167	2219.302	0.653	967.808	126.102	2232.13
A	56	104	7	31.385	17.666	0	43.678	0.054	0.325	2.73	0.039	2.391	1005.629	1.309	560	344.444	2724.089
A	27	49	7	24.81	9.786	0	60.66	0.022	0.055	1.001	0.114	1.165	3735.189	0.685	93.147	95.133	3215.511
A	37	66	7	56.228	1.619	0	25.28	11.263	0.092	0.083	0.224	2.428	4891.466	0.677	88.971	243.23	3709.401
A	8	26	7	48.735	0.603	1.108	41.722	1.238	1.744	0.185	0.177	2.416	4010.961	0.664	684.887	187.084	4206.477
A	16	47	6	15.633	0	0	82.069	0.119	0	0.361	0	0.211	2885.246	0.654	794	236.004	4704.176
A	11	35	6	9.999	0.457	0	79.271	0.024	0.67	1.319	6.309	0.292	2261.299	0.696	1038	15.184	5202.328
A	15	55	8	39.942	2.223	0	52.042	0	0.783	0.263	2.26	0.65	3069.604	0.678	555.102	118.865	5700.669
A	13	44	6	10.382	0.745	0	86.015	0.038	0	0	0.137	1.896	631.439	0.652	418.35	332.257	6199.342
A	3	30	6	2.507	0	0	94.122	0	0.178	0	0	2.194	1033.708	0.665	664	28.498	6698.151
A	6	33	5	0.738	4.474	0	91.583	0	0	0.271	0	1.375	2380.865	0.655	744	168.818	7187.762
B	4	29	6	15.725	0	0	82.297	0	0	0.154	0.402	0	2046.446	0.627	386.829	560	7668.833
B	5	34	8	43.866	1.895	0	48.031	0.06	0.094	2.246	0.077	1.655	2256.397	1.159	206.088	104.839	8152.155
B	9	64	7	45.102	0	0	43.025	0.125	0.107	7.156	0.042	1.702	1224.954	2.201	628.711	204.943	8633.224
B	8	76	7	39.46	0.462	5.235	45.817	1.7	0.702	1.003	0	2.721	1272.977	2.29	668	256.812	9101.411
B	7	32	5	19.988	0	3.658	71.398	0	0.827	0	0.479	1.694	1059.2	1.617	325.07	566.152	9573.578
B	9	34	5	13.369	0	5.049	77.084	0.308	1.025	0.034	0.36	1.192	1890.384	0.866	461.126	689.823	10047.63
B	7	32	5	6.848	0	0.224	89.905	0.364	0	0.29	0	0.589	3063.77	0.64	820	694	10523.939
B	5	35	7	2.946	0	9.426	85.696	0.013	0.01	0.05	0.078	0.476	1927.284	0.62	895.436	300	11002.496
B	5	22	5	3.219	0	0	95.078	0	0.012	0	0	0.345	1737.728	0.645	905	132.934	11482.896
B	11	34	5	3.218	0	0	93.05	0	0.088	0	0	1.621	1063.04	0.853	1103	253.305	11976.232
B	3	25	5	34.168	0	0	63.436	0	0.02	0	0	1.023	105.312	1.37	606	34.119	12470.968
B	3	18	7	22.839	0	0	74.839	0.529	0.087	0.205	0.188	0.357	796.373	0.631	183.804	515.233	12968.285
B	3	14	5	7.258	0	0	91.077	0.313	0.116	0.061	0	0	1253.661	0.603	403	825	13465.914
B	0	14	4	8.513	0	0.763	89.628	0.063	0.062	0	0	0	960.787	0.609	800	1165	13961.321
B	1	7	5	23.394	0	7.134	68.259	0.202	0	0	0	0.007	1104.524	0.605	360	1025	14432.954
B	0	7	4	26.945	0	0	70.186	0	0	0.286	0.213	0.878	490.966	1.374	300.158	754.938	14904.995
B	2	17	5	71.436	0	0	24.35	0	0.033	0	2.452	0.883	490.706	0.685	681.215	585	15377.983
B	0	10	3	62.203	0.891	1.039	32.348	0	0.133	0.519	0.061	1.921	662.081	0.594	774.277	137.112	15854.389
B	1	3	3	82.391	8.037	4.326	2.389	0	0.047	0	0	1.479	664.548	1.075	1056	80.916	16335.936
B	0	6	3	97.574	0	0	0	0.206	0.077	0	0	1.237	502.525	0.595	1437	35.426	16810.109
B	0	5	3	94.947	0	0	1.448	0.259	0.182	0.072	0	1.898	1150.712	0.676	1178	43	17235.045
B	0	2	1	89.294	0	0	4.235	0.278	0.067	0	0.284	3.951	2224.716	0.684	687	31.01	17673.064
B	0	3	2	68.779	1.125	0	24.327	0.812	0.208	0.306	0.579	1.931	2218.57	0.733	367.144	290.029	18167.269
C	0	2	2	62.173	5.055	0	28.694	0.03	0.063	0	0.215	1.365	1630.394	1.739	471.897	68.496	18656.949
C	0	2	1	67.834	0.021	0	29.263	0.018	0.122	0.253	0	0.591	2339.396	0.891	800	405	19149.507
