Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1961","1961","ha","95600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1961","1961","kg/ha","907.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1961","1961","t","86770","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1962","1962","ha","80800","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1962","1962","kg/ha","842.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1962","1962","t","68100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1963","1963","ha","81865","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1963","1963","kg/ha","1084","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1963","1963","t","88740","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1964","1964","ha","62767","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1964","1964","kg/ha","913.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1964","1964","t","57330","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1965","1965","ha","55274","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1965","1965","kg/ha","1050","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1965","1965","t","58040","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1966","1966","ha","48694","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1966","1966","kg/ha","1372.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1966","1966","t","66850","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1967","1967","ha","46718","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1967","1967","kg/ha","1011.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1967","1967","t","47240","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1968","1968","ha","42566","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1968","1968","kg/ha","1340.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1968","1968","t","57060","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1969","1969","ha","38879","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1969","1969","kg/ha","1151.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1969","1969","t","44780","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1970","1970","ha","39669","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1970","1970","kg/ha","1319.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1970","1970","t","52350","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1971","1971","ha","31289","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1971","1971","kg/ha","1292.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1971","1971","t","40430","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1972","1972","ha","23311","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1972","1972","kg/ha","1272.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1972","1972","t","29660","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1973","1973","ha","20095","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1973","1973","kg/ha","1598.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1973","1973","t","32130","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1974","1974","ha","21500","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1974","1974","kg/ha","1202.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1974","1974","t","25860","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1975","1975","ha","24900","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1975","1975","kg/ha","1168.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1975","1975","t","29102","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1976","1976","ha","22700","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1976","1976","kg/ha","897.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1976","1976","t","20370","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1977","1977","ha","25400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1977","1977","kg/ha","1714.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1977","1977","t","43540","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1978","1978","ha","26000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1978","1978","kg/ha","1761.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1978","1978","t","45800","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1979","1979","ha","19000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1979","1979","kg/ha","1736.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1979","1979","t","33000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1980","1980","ha","18000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1980","1980","kg/ha","1611.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1980","1980","t","29000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1981","1981","ha","16000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1981","1981","kg/ha","1750","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1981","1981","t","28000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1982","1982","ha","17000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1982","1982","kg/ha","1882.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1982","1982","t","32000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1983","1983","ha","12000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1983","1983","kg/ha","1750","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1983","1983","t","21000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1984","1984","ha","9200","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1984","1984","kg/ha","1728.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1984","1984","t","15900","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1985","1985","ha","8900","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1985","1985","kg/ha","1910.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1985","1985","t","17000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1986","1986","ha","8500","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1986","1986","kg/ha","1882.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1986","1986","t","16000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1987","1987","ha","8400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1987","1987","kg/ha","1857.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1987","1987","t","15600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1988","1988","ha","7400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1988","1988","kg/ha","1973","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1988","1988","t","14600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1989","1989","ha","6600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1989","1989","kg/ha","1666.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1989","1989","t","11000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1990","1990","ha","5202","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1990","1990","kg/ha","1305.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1990","1990","t","6793","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1991","1991","ha","5139","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1991","1991","kg/ha","1550","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1991","1991","t","7965.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1992","1992","ha","5628","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1992","1992","kg/ha","1800.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1992","1992","t","10131.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1993","1993","ha","4492","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1993","1993","kg/ha","2097.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1993","1993","t","9423.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1994","1994","ha","4066","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1994","1994","kg/ha","2093.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1994","1994","t","8511","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1995","1995","ha","4144","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1995","1995","kg/ha","2253.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1995","1995","t","9339.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1996","1996","ha","3671","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1996","1996","kg/ha","2241.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1996","1996","t","8227.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1997","1997","ha","3803","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1997","1997","kg/ha","2226","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1997","1997","t","8465.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1998","1998","ha","3497","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1998","1998","kg/ha","2274.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1998","1998","t","7953","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","1999","1999","ha","3334","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","1999","1999","kg/ha","2862.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","1999","1999","t","9542.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2000","2000","ha","2909","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2000","2000","kg/ha","3045.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2000","2000","t","8860","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2001","2001","ha","3135","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2001","2001","kg/ha","2839.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2001","2001","t","8901.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2002","2002","ha","3051","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2002","2002","kg/ha","2849.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2002","2002","t","8693","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2003","2003","ha","3190","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2003","2003","kg/ha","2891.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2003","2003","t","9224.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2004","2004","ha","3024","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2004","2004","kg/ha","2529.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2004","2004","t","7648","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2005","2005","ha","3207","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2005","2005","kg/ha","2798.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2005","2005","t","8974","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2006","2006","ha","3045","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2006","2006","kg/ha","2645.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2006","2006","t","8055","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2007","2007","ha","2641","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2007","2007","kg/ha","2533.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2007","2007","t","6690.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2008","2008","ha","2387","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2008","2008","kg/ha","2573.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2008","2008","t","6142","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2009","2009","ha","1917","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01701","Beans, dry","2009","2009","kg/ha","2552.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01701","Beans, dry","2009","2009","t","4892.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01701","Beans, dry","2010","2010","ha","3324","A","Official figure",""
