Tri;Année;Périmètre juridique;Legal perimeter;Périmètre spatial;Spatial perimeter;Indicateur;Indicator;Valeur de l'indicateur;Unité;Unit;Méthode de consolidation;Consolidation method
1;2023;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d'hommes et de femmes au Comex;Total executives (man + woman);12.0;Nombre;Number;Intégration Globale;Full integration
2;2023;Groupe EDF;EDF Group;Monde;Worldwide;Nombre de femmes au Comex;Executive woman;3.0;Nombre;Number;Intégration Globale;Full integration
3;2023;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;132264.0;Nombre;Number;Intégration Globale;Full integration
4;2023;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;47286.0;Nombre;Number;Intégration Globale;Full integration
5;2023;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;43975.0;Nombre;Number;Intégration Globale;Full integration
6;2023;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;18219.0;Nombre;Number;Intégration Globale;Full integration
7;2023;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);38.5;%;%;Intégration Globale;Full integration
8;2023;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);29.3;%;%;Intégration Globale;Full integration
9;2022;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d'hommes et de femmes au Comex;Total executives (man + woman);12.0;Nombre;Number;Intégration Globale;Full integration
10;2022;Groupe EDF;EDF Group;Monde;Worldwide;Nombre de femmes au Comex;Executive woman;2.0;Nombre;Number;Intégration Globale;Full integration
11;2022;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;127130.0;Nombre;Number;Intégration Globale;Full integration
12;2022;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;44360.0;Nombre;Number;Intégration Globale;Full integration
13;2022;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;41061.0;Nombre;Number;Intégration Globale;Full integration
14;2022;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;16803.0;Nombre;Number;Intégration Globale;Full integration
15;2022;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);37.8;%;%;Intégration Globale;Full integration
16;2022;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);29.099999999999998;%;%;Intégration Globale;Full integration
17;2021;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d'hommes et de femmes au Comex;Total executives (man + woman);12.0;Nombre;Number;Intégration Globale;Full integration
18;2021;Groupe EDF;EDF Group;Monde;Worldwide;Nombre de femmes au Comex;Executive woman;2.0;Nombre;Number;Intégration Globale;Full integration
19;2021;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;123915.0;Nombre;Number;Intégration Globale;Full integration
20;2021;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;43242.0;Nombre;Number;Intégration Globale;Full integration
21;2021;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;39345.0;Nombre;Number;Intégration Globale;Full integration
22;2021;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;15986.0;Nombre;Number;Intégration Globale;Full integration
23;2021;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);37.0;%;%;Intégration Globale;Full integration
24;2021;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);28.9;%;%;Intégration Globale;Full integration
25;2020;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d'hommes et de femmes au Comex;Total executives (man + woman);12.0;Nombre;Number;Intégration Globale;Full integration
26;2020;Groupe EDF;EDF Group;Monde;Worldwide;Nombre de femmes au Comex;Executive woman;2.0;Nombre;Number;Intégration Globale;Full integration
27;2020;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;122578.0;Nombre;Number;Intégration Globale;Full integration
28;2020;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;42622.0;Nombre;Number;Intégration Globale;Full integration
29;2020;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;38084.0;Nombre;Number;Intégration Globale;Full integration
30;2020;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;15401.0;Nombre;Number;Intégration Globale;Full integration
31;2020;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);36.0;%;%;Intégration Globale;Full integration
32;2020;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);28.8;%;%;Intégration Globale;Full integration
33;2019;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d'hommes et de femmes au Comex;Total executives (man + woman);12.0;Nombre;Number;Intégration Globale;Full integration
34;2019;Groupe EDF;EDF Group;Monde;Worldwide;Nombre de femmes au Comex;Executive woman;2.0;Nombre;Number;Intégration Globale;Full integration
35;2019;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;123813.0;Nombre;Number;Intégration Globale;Full integration
36;2019;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;40912.0;Nombre;Number;Intégration Globale;Full integration
37;2019;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;38097.0;Nombre;Number;Intégration Globale;Full integration
38;2019;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;14999.0;Nombre;Number;Intégration Globale;Full integration
39;2019;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);37.0;%;%;Intégration Globale;Full integration
40;2019;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);28.2;%;%;Intégration Globale;Full integration
41;2018;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;124889.0;Nombre;Number;Intégration Globale;Full integration
42;2018;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;40901.0;Nombre;Number;Intégration Globale;Full integration
43;2018;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;37888.0;Nombre;Number;Intégration Globale;Full integration
44;2018;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;14474.0;Nombre;Number;Intégration Globale;Full integration
45;2018;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);35.0;%;%;Intégration Globale;Full integration
46;2018;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);27.6;%;%;Intégration Globale;Full integration
47;2017;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;112504.0;Nombre;Number;Intégration Globale;Full integration
48;2017;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;39529.0;Nombre;Number;Intégration Globale;Full integration
49;2017;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;32654.0;Nombre;Number;Intégration Globale;Full integration
50;2017;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;12863.0;Nombre;Number;Intégration Globale;Full integration
51;2017;Groupe EDF;EDF Group;Monde;Worldwide;Pourcentage de femmes dans le collège cadres;Women at managerial level (female managers / total female workforce);32.5;%;%;Intégration Globale;Full integration
52;2017;Groupe EDF;EDF Group;Monde;Worldwide;Taux de féminisation de l'encadrement;Women managers (female managers / total managers men and women);28.3;%;%;Intégration Globale;Full integration
53;2016;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;114503.0;Nombre;Number;Intégration Globale;Full integration
54;2016;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;40342.0;Nombre;Number;Intégration Globale;Full integration
55;2016;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;32941.0;Nombre;Number;Intégration Globale;Full integration
56;2016;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;12533.0;Nombre;Number;Intégration Globale;Full integration
57;2015;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;117295.0;Nombre;Number;Intégration Globale;Full integration
58;2015;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;41817.0;Nombre;Number;Intégration Globale;Full integration
59;2015;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;33383.0;Nombre;Number;Intégration Globale;Full integration
60;2015;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;12552.0;Nombre;Number;Intégration Globale;Full integration
61;2014;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;116582.0;Nombre;Number;Intégration Globale;Full integration
62;2014;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;41579.0;Nombre;Number;Intégration Globale;Full integration
63;2014;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;32626.0;Nombre;Number;Intégration Globale;Full integration
64;2014;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;11913.0;Nombre;Number;Intégration Globale;Full integration
65;2013;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;116928.0;Nombre;Number;Intégration Globale;Full integration
66;2013;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;41539.0;Nombre;Number;Intégration Globale;Full integration
67;2013;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;31468.0;Nombre;Number;Intégration Globale;Full integration
68;2013;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;10859.0;Nombre;Number;Intégration Globale;Full integration
69;2012;Groupe EDF;EDF Group;Monde;Worldwide;Effectif hommes;Male workforce;118512.0;Nombre;Number;Intégration Globale;Full integration
70;2012;Groupe EDF;EDF Group;Monde;Worldwide;Effectif femmes;Female workforce;41228.0;Nombre;Number;Intégration Globale;Full integration
71;2012;Groupe EDF;EDF Group;Monde;Worldwide;Hommes cadres;Male managers;30286.0;Nombre;Number;Intégration Globale;Full integration
72;2012;Groupe EDF;EDF Group;Monde;Worldwide;Femmes cadres;Female managers;10069.0;Nombre;Number;Intégration Globale;Full integration
